image_path,folder_tag,pred_label,pred_confidence,fallen_trees,building_debris,damaged_infrastructure,flooded_roads,headline,short_caption,long_caption
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1001365057654079_vs_1615483699314624(3)\1615483699314624_2024.png,mild,severe,85,40,75,15,0,"Extensive building debris, woody debris visible on cleared land.","Extensive building debris and woody debris are scattered across a cleared, damaged landscape with standing utility poles.","Extensive building debris and woody debris are scattered across a cleared, damaged landscape. Piles of metal and wood fragments are visible alongside numerous tree branches. Utility poles remain standing, but the overall scene indicates significant structural impact and land alteration, with a dirt road winding through the affected area."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1001982311142812_vs_873181044952623(1)\873181044952623_2024.png,mild,mild,95,0,0,0,0,"No visible damage to trees, buildings, infrastructure, or roads.","No visible damage to trees, buildings, infrastructure, or roads is apparent in this coastal scene.","This street-level image reveals no visible damage to fallen trees, building debris, or damaged infrastructure. Roads are clear and dry, with no signs of flooding. The coastal area appears largely unaffected, showing intact structures and a clear environment under a sunny sky."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1005933120857164_vs_888651662930038(3)\888651662930038_2024.png,mild,mild,95,0,0,0,0,"Intact homes, upright trees, and dry roads show minimal visible damage.","The street scene shows intact buildings, upright trees, and dry roads, indicating minimal visible damage.","The street scene reveals intact buildings on stilts, healthy palm trees, and dry, clear roads. Power lines and poles appear undamaged, with no visible debris or flooding. The overall environment suggests a mild or negligible impact from any recent event, with structures and natural elements largely unaffected."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1006257200687880_vs_459972380427296(3)\459972380427296_2024.png,mild,moderate,85,5,70,65,0,"Shoreline debris, damaged infrastructure visible along coastal road.","Extensive shoreline debris and damaged infrastructure are visible along the coast, indicating significant impact from a recent event.","Significant building debris and damaged infrastructure line the shoreline, with remnants of structures scattered along the water's edge. While the elevated house appears intact, the surrounding coastal area shows clear signs of moderate impact from a recent event, including stressed palm trees and damaged pilings."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1006318940563700_vs_528488659914688(3)\528488659914688_2024.png,mild,mild,95,0,0,0,0,"No visible damage to trees, buildings, infrastructure, or roads.","No significant damage is visible to trees, buildings, infrastructure, or roads in this sunny post-disaster scene.","This street-level image shows no visible signs of disaster damage. Trees stand upright, buildings appear intact, and infrastructure like power poles and lines are undamaged. Roads are clear and dry, with no debris or flooding present under a clear sky."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1007653503749564_vs_525975320288449(3)\525975320288449_2024.png,mild,mild,90,0,10,5,0,"Minimal infrastructure damage, no flooding or fallen trees visible.","Minimal infrastructure damage and no flooding are visible in this coastal area, with temporary trailers present.","This street-level view shows minimal infrastructure damage, with utility poles standing and no visible flooding. There are no fallen trees or significant building debris. Several temporary trailers are parked on the right, suggesting ongoing activity or temporary facilities in this coastal environment."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1007747243794329_vs_1806801453183777(1)\1806801453183777_2024.png,mild,moderate,90,75,0,0,0,"Fallen trees, broken branches line rural road after disaster.","Fallen trees and broken branches are widespread along a rural road, showing significant natural landscape damage.","Extensive fallen trees and broken branches are visible along a rural dirt road, indicating significant damage to the natural landscape. Many trees appear defoliated or have snapped tops, with debris scattered across the ground. No building debris, damaged infrastructure, or flooded roads are visible in this undeveloped area."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1008688026847728_vs_3510548662584190(2)\3510548662584190_2024.png,mild,mild,90,0,25,0,0,Scattered debris visible on street; trees and infrastructure largely intact.,"Scattered debris is visible on the ground, but trees and infrastructure appear largely intact.","Scattered debris, including wooden fragments, is visible on the ground near the road. Despite this localized debris, the numerous palm trees remain standing upright, and utility infrastructure appears undamaged. The roads are clear and dry, indicating a mild impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1008954953883140_vs_1218240882778509(3)\1218240882778509_2024.png,mild,mild,90,5,0,5,0,"Clear skies, intact homes, and dry roads show minimal visible disaster impact.","Intact homes, clear roads, and no visible debris indicate minimal disaster impact along the coast.","The coastal scene shows intact elevated homes and clear, dry roads, indicating minimal visible disaster impact. There are no fallen trees, building debris, or significantly damaged infrastructure evident. The water level appears normal, and the sky is clear, suggesting a recovery or lack of severe recent event."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1009640337128019_vs_1204262907541832(2)\1204262907541832_2024.png,mild,mild,95,0,0,0,10,"Minimal damage observed; muddy terrain, intact trees and infrastructure.","Minimal damage is visible on this dirt road, with some muddy patches, but trees and infrastructure appear intact.","The scene shows minimal disaster damage, with no fallen trees, building debris, or damaged infrastructure visible. The dirt road features some muddy areas and standing water in low spots, suggesting wet conditions. Vehicles and RVs are present, and the surrounding natural environment appears largely undisturbed."
