image_path,folder_tag,pred_label,pred_confidence,fallen_trees,building_debris,damaged_infrastructure,flooded_roads,headline,short_caption,long_caption
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1001365057654079_vs_1615483699314624(3)\1615483699314624_2024.png,mild,mild,75,20,10,30,0,Mild Damage: Fallen Trees and Damaged Infrastructure Observed,Fallen trees and damaged poles indicate mild post-disaster impact.,"The area shows mild damage with fallen trees and damaged infrastructure, including poles. Minimal building debris is present, and no flooded roads are visible."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1001982311142812_vs_873181044952623(1)\873181044952623_2024.png,mild,mild,75,0,0,10,0,Mild Damage with Minimal Infrastructure Impact Observed,Minor damage to infrastructure noted in the area.,"The area shows mild damage, primarily with minimal infrastructure impact. A few signs of damaged infrastructure are visible, but overall conditions appear stable with no flooding or significant debris."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1005933120857164_vs_888651662930038(3)\888651662930038_2024.png,mild,mild,75,10,5,15,0,Mild Damage: Minimal Fallen Trees and Infrastructure Issues,Mild damage observed with few fallen trees and minor infrastructure issues.,"The area shows mild damage with minimal fallen trees and minor issues with infrastructure. Building debris is limited, and no flooded roads are visible, indicating a relatively stable environment post-disaster."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1006257200687880_vs_459972380427296(3)\459972380427296_2024.png,mild,mild,75,0,10,20,0,Mild Damage: Minimal Building Debris and Infrastructure Issues,Mild damage observed with minor debris and infrastructure concerns.,"The area shows mild damage with minimal building debris and some damaged infrastructure. No fallen trees or flooded roads are visible, indicating a relatively stable environment post-disaster."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1006318940563700_vs_528488659914688(3)\528488659914688_2024.png,mild,mild,75,20,10,30,0,Mild Damage: Fallen Trees and Infrastructure Issues,Mild damage observed with fallen trees and infrastructure concerns.,"The area shows mild damage with some fallen trees and damaged infrastructure, including power lines. Minimal building debris is present, and no flooding is observed on the roads."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1007653503749564_vs_525975320288449(3)\525975320288449_2024.png,mild,mild,75,0,10,20,0,Mild Damage with Minimal Building Debris and Infrastructure Issues,Mild damage observed with some building debris and infrastructure concerns.,"The area shows mild damage, characterized by minimal building debris and some damaged infrastructure. No fallen trees or flooded roads are visible, indicating a relatively stable environment post-disaster."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1007747243794329_vs_1806801453183777(1)\1806801453183777_2024.png,mild,mild,75,30,0,0,0,Mild Damage: Fallen Trees Observed in Area,Fallen trees indicate mild damage in the vicinity.,"The area shows mild damage with fallen trees scattered along the road, but no significant building debris or infrastructure damage is visible."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1008688026847728_vs_3510548662584190(2)\3510548662584190_2024.png,mild,mild,75,10,5,15,0,Mild Damage: Minimal Fallen Trees and Infrastructure Issues,Mild damage observed with few fallen trees and minor infrastructure issues.,"The area shows mild damage with a few fallen trees and minor issues with infrastructure. No significant flooding is visible, indicating a relatively stable environment post-disaster."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1008954953883140_vs_1218240882778509(3)\1218240882778509_2024.png,mild,mild,85,0,0,0,0,Minimal Damage Observed in Coastal Area Post-Disaster,Coastal area shows no significant damage after the disaster.,"The coastal area appears largely intact with no visible fallen trees, building debris, or damaged infrastructure. Roads remain clear and accessible, indicating minimal impact from the recent disaster."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1009640337128019_vs_1204262907541832(2)\1204262907541832_2024.png,mild,mild,85,10,5,0,0,Mild Damage: Few Fallen Trees and Minimal Debris,Mild damage observed with scattered fallen trees and minimal debris.,"The area shows mild damage with a few fallen trees and minimal building debris. No significant damage to infrastructure or flooded roads is visible, indicating a relatively stable environment post-disaster."
